Cantidad;Proveedor;Total;Temporada;Fecha;Color;Talle;Familia N1;Familia N2;Familia N3;Categorias;Art.Contenedor;Artículo;Marca
1,00;FRABIDEL GROUP SA (FLECHA - TOPPER);5.792,75;CLASICO;02/01/2023;JEANS;41;CALZADO;ZAPATILLAS;URBANAS;;641327 - 22304 FLECHA ZAPATILLA URB 2021;22304 FLECHA ZAPATILLA URB 2021 JEANS 41;FLECHA
1,00;CIRON S.A. (SAVAGE);9.990,00;VERANO MODA;02/01/2023;NEGRO;36;CALZADO;ZUECOS;ZUECOS MODA;6-12 SIN INTERES 6-12 SIN INTERES|LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;643617 - PIAVE 423 ZUECO MODA 2022;PIAVE 423 ZUECO MODA 2022EGRO 36;SAVAGE
1,00;DONCAL S.R.L;8.464,00;INVIERNO MODA;02/01/2023;BLANCO;38;CALZADO;BOTAS Y BORCEGOS;BORCEGOS;LIQUIDACION INVIERNO 2023 ;640036 - 410 LILA LIZ BORCEGO 2021;410 LILA LIZ BORCEGO 2021 BLANCO 38;LILA LIZ
1,00;DISTRINANDO S.A.;6.986,00;VERANO MODA;02/01/2023;PLATA;38;CALZADO;SANDALIAS;SANDALIAS TACO ALTO;DISCONTINUOS OFERTAS VERANO ;AC-3841314 - 6959/685 CHOCOLATE SANDALIA T/A 2018;6959/685 CHOCOLATE SANDALIA T/A 2018 PLATA 38;CHOCOLATE
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);13.502,70;VERANO MODA;02/01/2023;NEGRO;38;CALZADO;SANDALIAS;SANDALIAS TACO MEDIO;;643426 - 6464/102/7286 VIZZANO SANDALIA T/M 2022;6464/102/7286 VIZZANO SANDALIA T/M 2022 NEGRO 38;VIZZANO
1,00;INDUSTRIAS VERSATO S.A.(VERSATO);10.914,00;VERANO MODA;02/01/2023;NEGRO;39;CALZADO;SANDALIAS;SANDALIAS MODA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;644017 - 7127/235/13554 MODARE SANDALIA MODA 2022;7127/235/13554 MODARE SANDALIA MODA 2022 NEGRO 39;MODARE
1,00;MAR PLAST S.A.;4.491,00;CLASICO;02/01/2023;VARIOS;UNICO;ELECTRONICA;AUDIO Y VIDEO;AURICULARES;MODEL 174739; - ;174739 WIRELESS AURICULAR BLUETOOH P15 2022 VARIOS UNICO;WIRELESS
1,00;GOLDMUND;22.231,75;CLASICO;02/01/2023;ROJO;UNICO;ELECTRODOMESTICOS;COCINA ELECTRO;LICUADORA;;643432 - LN800 PEABODY LICUADORA 2022;LN800 PEABODY LICUADORA 2022 ROJO UNICO;PEABODY
1,00;DESCANSAR S.A.;16.790,00;CLASICO;02/01/2023;VARIOS;UNICO;OUTDOOR Y TIEMPO LIBRE;CAMPING;REPOSERAS;;644156 - 80001 DESCANSAR REPOSERA PLEGABLE 5 POSICIONES 2022;80001 DESCANSAR REPOSERA PLEGABLE 5 POSICIONES 2022 VARIOS UNICO;DESCANSAR
1,00;INDUSTRIAS G&D S.A.( MASSIMO CHIESA );3.690,00;CLASICO;02/01/2023;NEGRO;95;MARROQUINERIA;ACCESORIOS DE MARROQUINERIA;CINTO;;643218 - 3111 STORKMAN CINTO 2022;3111 STORKMAN CINTO 2022 NEGRO 95;STORK MAN
1,00;;891,99;CLASICO;02/01/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;;580,49;CLASICO;02/01/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;;518,21;CLASICO;02/01/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;;440,39;CLASICO;02/01/2023;VARIOS;UNICO;VARIOS;;;; - ;COSTO ENVIO ML VARIOS 2021;VARIOS
1,00;SUN SOL S.R.L;8.178,31;VERANO;02/01/2023;NEGRO;43;CALZADO;OJOTAS Y CHINELAS;CHINELA;LIQUIDACION VERANO 2023 LIQUIDACION VERANO 2023;641783 - DO1103 DOX CHINELA 2021;DO1103 DOX CHINELA 2021 NEGRO 43;DOX
